Date,Close/Last,Volume,Open,High,Low
11/05/2021,$84.60,2718121,$82.94,$86.025,$81.19
11/04/2021,$80.47,3056996,$82.96,$83.16,$79.71
11/03/2021,$82.82,1631006,$81.98,$83.305,$81.75
11/02/2021,$81.89,1866441,$82.94,$82.99,$81.36
11/01/2021,$82.45,1626629,$80.37,$82.59,$79.92
10/29/2021,$80.40,3692498,$82.22,$82.435,$79.52
10/28/2021,$82.73,1165697,$82.30,$82.83,$81.75
10/27/2021,$82.30,2057707,$80.79,$82.69,$80.4126
10/26/2021,$80.43,2415301,$80.96,$81.31,$80.40
10/25/2021,$80.98,2843074,$81.24,$82.09,$79.74
10/22/2021,$81.04,2352690,$83.23,$83.94,$80.83
10/21/2021,$83.15,1553591,$84.80,$85.06,$82.9665
10/20/2021,$84.58,1454734,$84.07,$85.19,$83.91
10/19/2021,$84.07,1170382,$83.79,$84.27,$83.37
10/18/2021,$83.36,1765575,$83.54,$84.11,$82.93
10/15/2021,$84.11,1472400,$84.70,$84.85,$83.72
10/14/2021,$83.95,1729251,$83.96,$84.56,$83.67
10/13/2021,$83.29,1109783,$82.91,$83.44,$82.29
10/12/2021,$83.29,1343073,$82.79,$84.17,$82.48
10/11/2021,$82.84,761023,$82.22,$83.36,$81.71
10/08/2021,$82.69,766308,$82.87,$83.34,$82.50
10/07/2021,$82.93,1027448,$83.80,$84.36,$82.71
10/06/2021,$83.20,2083221,$81.11,$83.41,$80.01
10/05/2021,$81.74,1569734,$83.83,$83.83,$81.71
10/04/2021,$83.73,1269800,$83.44,$84.45,$83.1888
10/01/2021,$83.85,1213014,$83.10,$84.28,$82.44
09/30/2021,$82.40,2809149,$84.38,$84.38,$82.165
09/29/2021,$83.79,1702743,$83.31,$84.23,$83.25
09/28/2021,$83.10,2203902,$82.23,$83.485,$81.60
09/27/2021,$82.79,1733651,$83.53,$85.14,$82.77
09/24/2021,$83.30,1918840,$85.24,$85.67,$82.62
09/23/2021,$85.74,1638448,$85.75,$86.85,$85.53
09/22/2021,$85.44,1657039,$86.64,$86.78,$85.29
09/21/2021,$85.94,1417639,$86.32,$87.65,$85.90
09/20/2021,$85.75,1960748,$85.04,$86.86,$84.51
09/17/2021,$85.83,3532048,$87.10,$87.33,$85.59
09/16/2021,$87.81,1533382,$86.88,$88.14,$86.42
09/15/2021,$86.88,1714550,$87.57,$87.57,$86.71
09/14/2021,$87.54,1632652,$88.76,$88.83,$86.50
09/13/2021,$88.22,2403797,$87.63,$88.79,$87.21
09/10/2021,$86.68,2231825,$86.39,$87.64,$85.40
